country_code,DOMAIN,provider_name,provider_short_desc,provider_long_desc,provider_Logo_image_url,provider_id,provider_uri,Address,City,State,Country,zip,gps
IND,food:restaurant,Namma Oota,Authentic Karnataka meals,Traditional Karnataka-style meals,https://logo.example.com/nammaoota.png,prov-001,https://nammaoota.in,12 5th Cross Indiranagar,Bengaluru,Karnataka,India,560038,"12.9716,77.6412"
IND,food:restaurant,Spice Route Kitchen,Classic Indian curries,Rich Indian curries & tandoori,https://logo.example.com/spiceroute.png,prov-002,https://spiceroute.in,45 Brigade Road,Bengaluru,Karnataka,India,560001,"12.9719,77.5937"
IND,food:restaurant,Malabar Bay,Kerala cuisine,Authentic Malabar food,https://logo.example.com/malabarbay.png,prov-003,https://malabarbay.in,88 JP Nagar,Bengaluru,Karnataka,India,560078,"12.9077,77.5855"
IND,food:restaurant,Tandoori Tales,Tandoor specials,North Indian & Mughlai,https://logo.example.com/tandooritales.png,prov-004,https://tandooritales.in,22 Koramangala,Bengaluru,Karnataka,India,560095,"12.9352,77.6245"
IND,food:restaurant,Udipi Upahar,Veg South Indian,Pure vegetarian,https://logo.example.com/udipi.png,prov-005,https://udipiupahar.in,10 Malleshwaram,Bengaluru,Karnataka,India,560003,"13.0033,77.5704"
IND,food:restaurant,Pizza Italiano,Italian food,Wood fired pizzas,https://logo.example.com/italiano.png,prov-006,https://pizzaitaliano.in,77 Whitefield,Bengaluru,Karnataka,India,560066,"12.9698,77.75"
IND,food:restaurant,Biryani Junction,Hyderabadi biryani,Dum biryani & kebabs,https://logo.example.com/biryani.png,prov-007,https://biryanijunction.in,19 BTM Layout,Bengaluru,Karnataka,India,560076,"12.9166,77.6101"
IND,food:restaurant,Coastal Curry House,Seafood,Coastal Indian seafood,https://logo.example.com/coastal.png,prov-008,https://coastalcurry.in,63 Marathahalli,Bengaluru,Karnataka,India,560037,"12.9592,77.6974"
IND,food:restaurant,Street Masala,Street food,Indian street favorites,https://logo.example.com/streetmasala.png,prov-009,https://streetmasala.in,5 Jayanagar,Bengaluru,Karnataka,India,560011,"12.925,77.5938"
IND,food:restaurant,Mediterraneo Bistro,Italian & continental,European dishes,https://logo.example.com/mediterraneo.png,prov-010,https://mediterraneo.in,90 HSR Layout,Bengaluru,Karnataka,India,560102,"12.9121,77.6446"
