provider_name,Item_name,short_desc,long_desc,Logo_image_url,max_quantity,min_quantity,tag_name,code,value,category name,category code,sku,min_price,max_price,stock_quantity,stock_status,fulfillments,base_price,tax,currency,quantity_unit
VoltTrade Inc.,80Ah Lithium Battery 1,80Ah battery,Rechargeable 80Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,80,DEG Retail Battery,DEG_RETAIL_1,BAT-9500,129,129,1000,In Stock,Delivery in 5 days,124,5,USD,USD
VoltTrade Inc.,20Ah Lithium Battery 2,20Ah battery,Rechargeable 20Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,20,DEG Retail Battery,DEG_RETAIL_1,BAT-3003,49,49,1000,In Stock,Delivery in 5 days,44,5,USD,USD
BatteryBay Corp.,80Ah Lithium Battery 1,80Ah battery,Rechargeable 80Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,80,DEG Retail Battery,DEG_RETAIL_1,BAT-2144,129,129,1000,In Stock,Delivery in 5 days,124,5,USD,USD
BatteryBay Corp.,50Ah Lithium Battery 2,50Ah battery,Rechargeable 50Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,50,DEG Retail Battery,DEG_RETAIL_1,BAT-2475,89,89,1000,In Stock,Delivery in 5 days,84,5,USD,USD
ElectroHub Solutions,100Ah Lithium Battery 1,100Ah battery,Rechargeable 100Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,100,DEG Retail Battery,DEG_RETAIL_1,BAT-2219,159,159,1000,In Stock,Delivery in 5 days,154,5,USD,USD
ElectroHub Solutions,100Ah Lithium Battery 2,100Ah battery,Rechargeable 100Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,100,DEG Retail Battery,DEG_RETAIL_1,BAT-5709,159,159,1000,In Stock,Delivery in 5 days,154,5,USD,USD
ChargeMaster USA,20Ah Lithium Battery 1,20Ah battery,Rechargeable 20Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,20,DEG Retail Battery,DEG_RETAIL_1,BAT-3062,49,49,1000,In Stock,Delivery in 5 days,44,5,USD,USD
ChargeMaster USA,80Ah Lithium Battery 2,80Ah battery,Rechargeable 80Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,80,DEG Retail Battery,DEG_RETAIL_1,BAT-3455,129,129,1000,In Stock,Delivery in 5 days,124,5,USD,USD
PowerNest Batteries,20Ah Lithium Battery 1,20Ah battery,Rechargeable 20Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,20,DEG Retail Battery,DEG_RETAIL_1,BAT-4250,49,49,1000,In Stock,Delivery in 5 days,44,5,USD,USD
PowerNest Batteries,20Ah Lithium Battery 2,20Ah battery,Rechargeable 20Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,20,DEG Retail Battery,DEG_RETAIL_1,BAT-9813,49,49,1000,In Stock,Delivery in 5 days,44,5,USD,USD
AmpereDeals,50Ah Lithium Battery 1,50Ah battery,Rechargeable 50Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,50,DEG Retail Battery,DEG_RETAIL_1,BAT-8422,89,89,1000,In Stock,Delivery in 5 days,84,5,USD,USD
AmpereDeals,50Ah Lithium Battery 2,50Ah battery,Rechargeable 50Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,50,DEG Retail Battery,DEG_RETAIL_1,BAT-4715,89,89,1000,In Stock,Delivery in 5 days,84,5,USD,USD
VoltX Marketplace,100Ah Lithium Battery 1,100Ah battery,Rechargeable 100Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,100,DEG Retail Battery,DEG_RETAIL_1,BAT-1359,159,159,1000,In Stock,Delivery in 5 days,154,5,USD,USD
VoltX Marketplace,20Ah Lithium Battery 2,20Ah battery,Rechargeable 20Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,20,DEG Retail Battery,DEG_RETAIL_1,BAT-2165,49,49,1000,In Stock,Delivery in 5 days,44,5,USD,USD
CellCore Retailers,80Ah Lithium Battery 1,80Ah battery,Rechargeable 80Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,80,DEG Retail Battery,DEG_RETAIL_1,BAT-5929,129,129,1000,In Stock,Delivery in 5 days,124,5,USD,USD
CellCore Retailers,100Ah Lithium Battery 2,100Ah battery,Rechargeable 100Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,100,DEG Retail Battery,DEG_RETAIL_1,BAT-5700,159,159,1000,In Stock,Delivery in 5 days,154,5,USD,USD
EcoBattery Traders,80Ah Lithium Battery 1,80Ah battery,Rechargeable 80Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,80,DEG Retail Battery,DEG_RETAIL_1,BAT-1460,129,129,1000,In Stock,Delivery in 5 days,124,5,USD,USD
EcoBattery Traders,50Ah Lithium Battery 2,50Ah battery,Rechargeable 50Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,50,DEG Retail Battery,DEG_RETAIL_1,BAT-7598,89,89,1000,In Stock,Delivery in 5 days,84,5,USD,USD
GreenVolt Suppliers,50Ah Lithium Battery 1,50Ah battery,Rechargeable 50Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,50,DEG Retail Battery,DEG_RETAIL_1,BAT-3983,89,89,1000,In Stock,Delivery in 5 days,84,5,USD,USD
GreenVolt Suppliers,20Ah Lithium Battery 2,20Ah battery,Rechargeable 20Ah lithium battery suitable for home and industrial use.,https://example.com/image.jpg,1,1,Battery Capacity,Battery Capacity,20,DEG Retail Battery,DEG_RETAIL_1,BAT-3580,49,49,1000,In Stock,Delivery in 5 days,44,5,USD,USD
