provider_name,Item_name,short_desc,long_desc,Logo_image_url,max_quantity,min_quantity,tag_name,code,value,category name,category code,sku,min_price,max_price,stock_quantity,stock_status,fulfillments,base_price,tax,currency,quantity_unit
MotorCity Charge,MotorCity Charge Fast Charger 1,Fast EV Charger,MotorCity Charge Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://motorcity-charge.com/charger1.png,1,1,"Type2, GB/T",port_type,"Type2, GB/T",EV Chargers,EV-CAT,MOT-1,160,160,10,In Stock,Onsite,148.15,11.85,USD,per kWh
MotorCity Charge,MotorCity Charge Fast Charger 2,Fast EV Charger,MotorCity Charge Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://motorcity-charge.com/charger2.png,1,1,GB/T,port_type,GB/T,EV Chargers,EV-CAT,MOT-2,180,180,10,In Stock,Onsite,166.67,13.33,USD,per kWh
GreatLakes EV,GreatLakes EV Fast Charger 1,Fast EV Charger,GreatLakes EV Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://greatlakes-ev.com/charger1.png,1,1,CCS,port_type,CCS,EV Chargers,EV-CAT,GRE-1,180,180,10,In Stock,Onsite,166.67,13.33,USD,per kWh
GreatLakes EV,GreatLakes EV Fast Charger 2,Fast EV Charger,GreatLakes EV Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://greatlakes-ev.com/charger2.png,1,1,"CCS, GB/T, Type2",port_type,"CCS, GB/T, Type2",EV Chargers,EV-CAT,GRE-2,110,110,10,In Stock,Onsite,101.85,8.15,USD,per kWh
Detroit Power EV,Detroit Power EV Fast Charger 1,Fast EV Charger,Detroit Power EV Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://detroit-power-ev.com/charger1.png,1,1,"CHAdeMO, Type2",port_type,"CHAdeMO, Type2",EV Chargers,EV-CAT,DET-1,130,130,10,In Stock,Onsite,120.37,9.63,USD,per kWh
Detroit Power EV,Detroit Power EV Fast Charger 2,Fast EV Charger,Detroit Power EV Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://detroit-power-ev.com/charger2.png,1,1,CCS,port_type,CCS,EV Chargers,EV-CAT,DET-2,110,110,10,In Stock,Onsite,101.85,8.15,USD,per kWh
CampusCharge,CampusCharge Fast Charger 1,Fast EV Charger,CampusCharge Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://campuscharge.com/charger1.png,1,1,"GB/T, CCS, CHAdeMO, Type2",port_type,"GB/T, CCS, CHAdeMO, Type2",EV Chargers,EV-CAT,CAM-1,80,80,10,In Stock,Onsite,74.07,5.93,USD,per kWh
CampusCharge,CampusCharge Fast Charger 2,Fast EV Charger,CampusCharge Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://campuscharge.com/charger2.png,1,1,"CHAdeMO, Type2",port_type,"CHAdeMO, Type2",EV Chargers,EV-CAT,CAM-2,150,150,10,In Stock,Onsite,138.89,11.11,USD,per kWh
Stanford Green EV,Stanford Green EV Fast Charger 1,Fast EV Charger,Stanford Green EV Fast Charger 1 supports high-speed charging with multiple port compatibility.,https://stanford-green-ev.com/charger1.png,1,1,CCS,port_type,CCS,EV Chargers,EV-CAT,STA-1,160,160,10,In Stock,Onsite,148.15,11.85,USD,per kWh
Stanford Green EV,Stanford Green EV Fast Charger 2,Fast EV Charger,Stanford Green EV Fast Charger 2 supports high-speed charging with multiple port compatibility.,https://stanford-green-ev.com/charger2.png,1,1,"Type2, GB/T",port_type,"Type2, GB/T",EV Chargers,EV-CAT,STA-2,110,110,10,In Stock,Onsite,101.85,8.15,USD,per kWh
